"NIT","RAZÓN SOCIAL","SUPERVISOR","REGIÓN","DEPARTAMENTO DOMICILIO","CIUDAD DOMICILIO","CIIU","MACROSECTOR","INGRESOS OPERACIONALES","GANANCIA (PÉRDIDA)","TOTAL ACTIVOS","TOTAL PASIVOS","TOTAL PATRIMONIO","Año de Corte"
"899,999,068","ECOPETROL S.A.","SUPERFINANCIERA","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","610","MINERO","$144.82","$33.41","$216.85","$125.81","$91.03","2,022"
"900,112,515","REFINERIA DE CARTAGENA S.A.S.","SUPERSOCIEDADES","COSTA ATLÁNTICA","BOLIVAR","CARTAGENA","1,921","MANUFACTURA","$27.86","$2.19","$42.84","$16.48","$26.36","2,022"
"830,095,213","ORGANIZACIÓN TERPEL S.A.","SUPERFINANCIERA","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,661","COMERCIO","$23.60","$0.33","$7.48","$4.47","$3.01","2,022"
"860,069,804","CARBONES DEL CERREJON LIMITED","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","510","MINERO","$16.39","$6.05","$10.45","$9.00","$1.45","2,022"
"800,021,308","DRUMMOND LTD","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","510","MINERO","$15.27","$2.16","$14.27","$6.34","$7.93","2,022"
"890,900,608","ALMACENES EXITO S.A.","SUPERFINANCIERA","ANTIOQUIA","ANTIOQUIA","ENVIGADO","4,711","COMERCIO","$15.13","$0.10","$14.85","$7.62","$7.23","2,022"
"890,904,996","EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.","SUPERFINANCIERA","ANTIOQUIA","ANTIOQUIA","MEDELLIN","3,513","SERVICIOS","$15.07","$3.04","$59.47","$30.24","$29.23","2,022"
"900,156,264","NUEVA EPS S.A.","SUPERSALUD","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","8,430","SERVICIOS","$14.78","$0.01","$5.91","$5.43","$0.49","2,022"
"800,153,993","COMUNICACIÓN CELULAR S.A.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","6,120","SERVICIOS","$14.63","$1.79","$23.43","$14.67","$8.76","2,022"
"900,276,962","D1 S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,711","COMERCIO","$13.96","$0.29","$4.90","$4.75","$0.15","2,022"
"890,100,577","AVIANCA","SUPERTRANSPORTE","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","5,111","SERVICIOS","$11.44","-$0.80","$17.89","$19.33","-$1.45","2,022"
"890,900,943","COLOMBIANA DE COMERCIO S.A.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,741","COMERCIO","$11.14","$0.34","$6.14","$3.96","$2.18","2,022"
"860,063,875","EMGESA S.A. E.S.P.","SUPERSERVICIOS","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","3,511","SERVICIOS","$10.87","$2.86","$27.06","$11.89","$15.17","2,022"
"900,818,921","KOPPS COMMERCIAL S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,632","COMERCIO","$9.66","$0.88","$5.05","$3.98","$1.07","2,022"
"800,088,702","EPS SURA","SUPERSALUD","ANTIOQUIA","ANTIOQUIA","MEDELLIN","8,430","SERVICIOS","$9.30","-$0.14","$2.10","$1.87","$0.24","2,022"
"800,251,440","E.P.S. SANITAS S.A.","SUPERSALUD","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","8,430","SERVICIOS","$8.72","-$0.30","$2.47","$2.39","$0.08","2,022"
