NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte,Margen_Neto,Nivel_Endeudamiento,Log_Ingresos,Cluster_ID,Cluster_Nombre
"900,357,414",FUNDACION AVANZAR FOS,SUPERSALUD,OTROS,ARAUCA,ARAUCA,"8,621",SERVICIOS,0.06,0.0,0.04,0.04,0.0,2024,0.0,1.0,0.05826890812397577,0,Grandes en Transición
"899,999,068",ECOPETROL S.A.,SUPERFINANCIERA,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.",610,MINERO,113.92,14.93,214.24,130.54,83.7,2024,0.1310568820224719,0.6093166542195668,4.744236234111089,0,Grandes en Transición
"900,112,515",REFINERIA DE CARTAGENA S.A.,SUPERSERVICIOS,COSTA ATLÁNTICA,BOLIVAR,CARTAGENA,"1,921",MANUFACTURA,25.86,-0.26,39.5,11.93,27.58,2024,-0.010054137664346482,0.3020253164556962,3.2906381910950917,0,Grandes en Transición
"830,095,213",ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,661",COMERCIO,24.75,0.53,7.97,4.62,3.35,2024,0.021414141414141417,0.5796737766624843,3.248434627109745,0,Grandes en Transición
"890,904,996",EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.,SUPERFINANCIERA,ANTIOQUIA,ANTIOQUIA,MEDELLIN,"3,513",SERVICIOS,20.57,4.83,66.92,34.46,32.46,2024,0.23480797277588722,0.5149432157800359,3.071303460401065,0,Grandes en Transición
"900,276,962",D1 S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,711",COMERCIO,19.44,0.37,6.32,6.1,0.22,2024,0.01903292181069959,0.9651898734177214,3.017493765335504,0,Grandes en Transición
"890,900,608",ALMACENES EXITO S.A.,SUPERFINANCIERA,ANTIOQUIA,ANTIOQUIA,ENVIGADO,"4,711",COMERCIO,16.08,0.05,13.9,7.22,6.69,2024,0.0031094527363184086,0.5194244604316547,2.837908188360424,0,Grandes en Transición
"860,063,875",EMGESA S.A. E.S.P.,SUPERSERVICIOS,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","3,514",SERVICIOS,15.78,2.25,28.67,14.46,14.2,2024,0.14258555133079848,0.5043599581444018,2.8201877010390604,0,Grandes en Transición
"800,153,993",COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","6,120",SERVICIOS,15.6,0.69,26.88,16.95,9.93,2024,0.044230769230769226,0.6305803571428571,2.8094026953624978,0,Grandes en Transición
"890,100,577",AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,SUPERTRANSPORTE,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","5,111",SERVICIOS,15.11,1.1,22.95,23.2,-0.25,2024,0.0727994705493051,1.0108932461873639,2.779440197188883,0,Grandes en Transición
"900,480,569",JERONIMO MARTINS COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,711",COMERCIO,13.83,-0.6,8.2,8.16,0.05,2024,-0.04338394793926247,0.9951219512195123,2.696652156149841,0,Grandes en Transición
"900,818,921",KOPPS COMMERCIAL S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,632",COMERCIO,11.94,1.06,6.25,4.78,1.47,2024,0.08877721943048578,0.7648,2.5603232890727545,0,Grandes en Transición
"890,900,943",COLOMBIANA DE COMERCIO S.A.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,741",COMERCIO,11.89,0.49,5.55,2.88,2.67,2024,0.04121110176619007,0.518918918918919,2.556451816951096,0,Grandes en Transición
"800,021,308",DRUMMOND LTD,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.",510,MINERO,11.5,0.96,11.7,3.98,7.71,2024,0.08347826086956521,0.3401709401709402,2.5257286443082556,0,Grandes en Transición
"860,002,554",PRIMAX COLOMBIA S.A.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,661",COMERCIO,10.52,0.16,2.04,1.49,0.55,2024,0.015209125475285173,0.7303921568627451,2.444084655267745,0,Grandes en Transición
"900,531,210",CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S.,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","4,930",SERVICIOS,9.98,5.27,20.46,2.99,17.47,2024,0.5280561122244488,0.14613880742913002,2.3960754360813845,2,Líderes Rentables 2
"860,005,224",BAVARIA & COMPAÑIA S.C.A,SUPERSOCIEDADES,BOGOTÁ - CUNDINAMARCA,BOGOTA D.C.,"BOGOTA, D.C.","1,103",MANUFACTURA,8.62,2.31,13.61,9.47,4.14,2024,0.2679814385150812,0.6958119030124909,2.263844264677615,0,Grandes en Transición
"890,107,487",SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A.,SUPERSOCIEDADES,COSTA ATLÁNTICA,ATLANTICO,BARRANQUILLA,"4,711",COMERCIO,7.13,0.06,5.73,3.48,2.25,2024,0.008415147265077139,0.6073298429319371,2.0955609235597192,0,Grandes en Transición
